"streams_mill","released_month","mode","key","bpm","danceability","energy","liveness"
462.791599,3,"Minor","C#",125,84,69,5
348.647203,10,"Major","D",120,69,39,13
366.599607,7,"Major","",94,58,57,10
90.598517,1,"Minor","F#",130,65,80,7
1479.264469,1,"Major","E",110,74,74,29
1449.779435,10,"Major","G",150,34,63,7
1159.176109,1,"Minor","B",107,74,65,46
769.21352,1,"Major","G#",140,70,41,45
741.301563,1,"Major","D",119,74,37,6
807.561936,10,"Major","E",93,35,23,29
834.129063,12,"Major","G",133,46,63,30
663.832097,10,"Major","G",202,24,60,12
446.390129,11,"Major","C#",134,45,24,18
690.104769,1,"Major","C#",105,72,51,9
485.285717,10,"Major","G#",160,51,81,21
520.034544,11,"Major","D",148,50,82,34
476.244795,10,"Major","G",151,65,47,9
629.173063,1,"Minor","F#",162,67,54,9
404.664135,11,"Major","D",92,53,77,32
98.709329,12,"Major","C#",152,65,65,21
110.849052,12,"Minor","A",65,71,26,13
460.492795,12,"Major","D",147,33,61,77
94.005786,12,"Minor","A#",150,73,69,32
395.591396,1,"Major","",140,67,36,15
389.771964,11,"Major","C#",139,36,15,11
403.939487,11,"Major","B",95,75,58,9
481.697415,11,"Major","",115,60,57,27
110.07325,12,"Major","F#",125,62,43,11
88.092256,12,"Major","",76,60,20,11
351.636786,1,"Minor","C#",101,72,87,13
473.248298,1,"Major","D",143,60,32,34
73.981293,12,"Minor","G",119,51,66,9
155.653938,12,"Major","A",78,67,59,15
395.591396,1,"Major","A",96,23,25,40
429.504768,1,"Major","A",180,51,58,18
242.767149,11,"Major","D#",126,34,76,8
65.362788,12,"Major","F",150,43,44,15
67.540165,12,"Major","D",90,53,74,34
62.019074,12,"Major","F",160,72,68,11
135.723538,11,"Major","",114,59,94,10
295.998468,1,"Major","G",113,73,32,15
261.116938,11,"Major","",147,67,72,19
136.689549,11,"Minor","B",100,70,59,10
135.611421,12,"Major","G#",155,49,77,12
356.709897,12,"Minor","G",107,54,39,11
110.649992,12,"Major","G#",112,80,54,38
301.869854,10,"Major","C#",166,70,57,11
127.027715,1,"Minor","F#",107,69,36,8
57.144458,12,"Major","G#",81,47,68,22
56.870689,12,"Major","C#",150,79,46,11
323.437194,10,"Major","A",110,66,32,12
317.726339,10,"Major","G",108,64,40,10
116.144341,9,"Minor","E",130,89,74,7
328.207708,10,"Major","G",164,70,56,9
608.228647,5,"Minor","B",114,80,68,66
180.577478,9,"Major","F",93,63,88,12
809.306935,6,"Minor","C#",90,87,69,9
49.262961,12,"Major","B",128,45,68,39
614.555082,5,"Major","A",97,83,80,24
245.350949,1,"Minor","G",152,69,71,7
178.660459,1,"Major","G#",175,51,34,10
51.641685,12,"Major","D",116,61,55,16
78.139948,12,"Minor","F",80,33,59,44
322.336177,8,"Minor","B",93,63,86,21
1007.612429,8,"Major","E",122,70,54,37
326.792833,1,"Major","G",122,70,79,7
391.251368,1,"Minor","A",135,70,58,16
349.58559,1,"Major","F",109,60,47,31
339.659802,1,"Minor","",93,65,74,32
674.772936,8,"Minor","B",125,85,81,7
432.719968,11,"Minor","",206,58,45,11
1309.887447,6,"Major","G",130,76,77,13
119.238316,1,"Minor","G",121,80,51,9
116.903579,1,"Minor","F#",123,74,73,21
888.046992,6,"Minor","B",122,67,67,30
200.660871,1,"Major","",143,53,79,8
130.655803,8,"Minor","A#",121,70,77,26
1887.039593,5,"Minor","F#",166,56,66,11
88.103848,1,"Major","C#",135,41,64,60
101.114984,1,"Minor","E",87,49,59,35
1575.467011,4,"Major","G#",111,77,66,13
91.656026,1,"Major","D",110,75,84,31
1042.568408,6,"Major","C#",130,66,61,9
1735.441776,9,"Minor","G#",179,61,51,38
726.837877,7,"Minor","F",93,74,73,13
53.933526,1,"Minor","A",78,27,49,49
267.758538,11,"Major","D",180,65,58,4
74.601456,1,"Minor","A",86,28,41,19
920.797189,9,"Minor","C#",88,74,85,5
539.595276,11,"Major","C#",97,68,78,7
1367.810478,12,"Minor","B",134,71,80,36
578.207856,9,"Major","D",116,75,76,10
775.542072,10,"Minor","E",170,64,70,9
863.625566,9,"Minor","C#",140,83,55,14
656.013912,11,"Minor","G",118,75,76,9
1056.760045,7,"Major","",65,31,24,14
611.994237,10,"Minor","",120,56,67,11
1230.855859,5,"Major","D#",176,29,33,12
582.98138,9,"Minor","G#",180,59,61,46
1858.144199,1,"Major","A#",144,59,43,10
240.684449,11,"Minor","F#",133,82,61,14
583.687007,11,"Major","",93,63,52,9
63.803529,1,"Major","A#",122,77,62,23
466.214729,11,"Major","C#",88,53,73,3
236.94048,1,"Minor","F",170,70,44,37
41.924466,1,"Minor","F",94,46,50,10
225.259194,11,"Major","A#",170,65,47,13
393.230256,10,"Minor","E",90,79,70,66
287.201015,12,"Major","G",78,40,29,9
599.770206,3,"Major","D",94,57,58,15
342.779426,10,"Major","D",73,83,41,36
673.801126,8,"Major","C#",176,73,86,7
1168.642797,11,"Minor","D#",128,81,63,10
540.539717,8,"Major","G#",120,58,60,5
383.550148,11,"Major","D",82,63,62,35
530.511203,3,"Major","D",95,77,47,9
37.307967,1,"Major","",118,44,94,4
510.876816,10,"Minor","B",123,75,86,14
1445.941661,3,"Major","",90,63,68,42
1763.363713,10,"Minor","E",110,73,57,11
374.191487,12,"Minor","C#",96,66,82,10
108.80909,1,"Minor","D",88,56,55,23
436.695353,9,"Minor","A",98,73,85,24
421.040617,9,"Minor","",110,72,68,14
501.541661,7,"Major","",80,70,49,12
354.065229,9,"Minor","C#",110,86,53,11
1143.647827,5,"Major","G#",110,79,36,6
311.395144,1,"Minor","C#",78,77,42,13
672.65625,6,"Major","G#",129,83,62,8
1256.880657,4,"Major","A",181,44,60,42
1692.897992,8,"Minor","F#",114,75,77,9
245.095641,11,"Major","D",144,74,65,11
686.734357,1,"Major","D",101,66,68,12
261.414174,10,"Major","D",84,67,63,12
610.045621,7,"Major","F#",154,66,69,11
1115.880852,3,"Major","F",148,59,62,9
594.482982,9,"Minor","F",146,85,37,7
566.954746,8,"Minor","B",120,77,79,26
374.70694,11,"Minor","",136,77,30,13
184.937148,11,"Major","C#",141,59,63,6
31.959571,1,"Minor","A",108,46,48,14
167.076418,11,"Major","",94,42,36,9
824.420218,5,"Major","A",180,35,94,5
363.467642,9,"Major","A#",122,77,79,16
1127.468248,10,"Major","A#",85,59,52,12
60.680939,1,"Major","C#",148,68,73,7
247.737946,12,"Major","A",120,83,73,5
1699.402402,7,"Minor","G",91,70,72,27
154.797871,11,"Major","E",120,72,71,10
198.883004,11,"Major","",106,86,79,8
124.407432,1,"Major","A#",110,63,35,29
850.608354,5,"Major","F#",169,39,45,8
376.33303,8,"Major","C#",118,80,55,26
516.784627,6,"Minor","G#",92,91,66,9
1608.045237,11,"Major","D#",112,45,60,9
506.778838,12,"Major","D",140,79,91,13
1472.799873,11,"Major","G#",105,73,76,5
513.643924,7,"Major","F",178,76,77,15
261.286503,12,"Minor","G",108,96,42,8
783.706581,5,"Major","A",173,40,29,34
422.691058,5,"Major","C#",101,67,90,34
1062.345656,1,"Minor","G#",120,80,62,11
1252.563873,10,"Major","",144,73,80,9
851.070493,3,"Major","C#",133,75,61,18
263.894529,10,"Minor","G#",158,46,83,97
345.903614,10,"Major","A",120,81,90,8
951.637566,2,"Major","",129,61,46,13
956.865266,11,"Major","G",102,74,89,26
427.486004,8,"Minor","G#",124,79,84,5
156.658366,4,"Minor","E",90,73,45,11
624.515457,4,"Minor","F#",161,78,52,12
777.765388,3,"Major","G",120,60,33,8
412.795151,7,"Major","",81,45,57,23
1138.47411,1,"Minor","E",150,78,70,15
355.219175,9,"Major","G#",105,76,84,13
290.228626,8,"Major","F#",79,63,67,6
1062.956628,10,"Minor","C#",146,52,61,11
1180.094974,4,"Major","E",124,64,37,9
1456.081449,1,"Major","F#",126,53,85,24
432.702334,8,"Major","G#",121,75,74,11
489.945871,9,"Minor","B",136,80,60,32
465.959382,6,"Minor","A",102,77,63,11
1223.481149,10,"Major","G",77,73,74,41
2864.791672,5,"Minor","F#",98,82,59,18
2288.695111,6,"Minor","B",84,44,48,33
720.825549,1,"Major","G#",102,89,82,17
2086.124197,8,"Major","G#",120,42,26,13
1690.192927,9,"Major","C#",117,52,91,11
991.336132,3,"Minor","A",72,45,33,14
593.917618,9,"Major","C#",168,67,47,22
200.972675,11,"Major","C#",94,52,69,33
71.014967,1,"Major","G#",145,41,88,26
560.22275,8,"Major","C#",134,71,61,23
1806.617704,9,"Major","C#",148,35,93,10
77.337771,1,"Minor","E",127,60,89,60
528.544703,6,"Minor","F#",172,74,66,8
865.640097,11,"Major","B",90,75,46,34
2159.346687,9,"Major","G",96,57,40,26
211.372494,1,"Minor","G",138,74,67,36
651.732901,4,"Major","G",120,72,72,13
